t,n_alive
0,1
0.0942478,1
0.188496,1
0.282743,1
0.376991,1
0.471239,1
0.565487,1
0.659734,1
0.753982,1
0.84823,1
0.942478,1
1.03673,1
1.13097,1
1.22522,1
1.31947,1
1.41372,1
1.50796,1
1.60221,1
1.69646,1
1.79071,1
1.88496,1
1.9792,1
2.07345,1
2.1677,1
2.26195,1
2.35619,1
2.45044,1
2.54469,1
2.63894,1
2.73319,1
2.82743,1
2.92168,1
3.01593,1
3.11018,1
3.20442,1
3.29867,1
3.39292,1
3.48717,1
3.58142,1
3.67566,1
3.76991,1
3.86416,1
3.95841,1
4.05265,1
4.1469,1
4.24115,1
4.3354,1
4.42965,1
4.52389,1
4.61814,1
4.71239,1
4.80664,1
4.90088,1
4.99513,1
5.08938,1
5.18363,1
5.27788,1
5.37212,1
5.46637,1
5.56062,1
5.65487,1
5.74911,1
5.84336,1
5.93761,1
6.03186,1
6.12611,2
6.22035,2
6.3146,2
6.40885,2
6.5031,2
6.59734,2
6.69159,2
6.78584,2
6.88009,2
6.97434,2
7.06858,2
7.16283,2
7.25708,2
7.35133,2
7.44557,2
7.53982,2
7.63407,2
7.72832,2
7.82257,2
7.91681,2
8.01106,2
8.10531,2
8.19956,2
8.2938,2
8.38805,2
8.4823,2
8.57655,2
8.6708,2
8.76504,2
8.85929,2
8.95354,2
9.04779,2
9.14203,2
9.23628,2
9.33053,2
9.42478,2
9.51903,2
9.61327,2
9.70752,2
9.80177,3
9.89602,3
9.99026,3
10.0845,3
10.1788,3
10.273,3
10.3673,3
10.4615,3
10.5558,4
10.65,4
10.7442,4
10.8385,4
10.9327,4
11.027,4
11.1212,4
11.2155,4
11.3097,4
11.404,4
11.4982,4
11.5925,4
11.6867,4
11.781,4
11.8752,5
11.9695,5
12.0637,6
12.158,6
12.2522,6
12.3465,7
12.4407,8
12.535,8
12.6292,8
12.7235,8
12.8177,8
12.9119,8
13.0062,8
13.1004,8
13.1947,8
13.2889,8
13.3832,8
13.4774,8
13.5717,8
13.6659,8
13.7602,8
13.8544,8
13.9487,8
14.0429,8
14.1372,8
14.2314,8
14.3257,8
14.4199,8
14.5142,8
14.6084,8
14.7027,8
14.7969,8
14.8911,8
14.9854,8
15.0796,8
15.1739,8
15.2681,8
15.3624,8
15.4566,9
15.5509,9
15.6451,10
15.7394,10
15.8336,10
15.9279,10
16.0221,10
16.1164,11
16.2106,11
16.3049,11
16.3991,11
16.4934,12
16.5876,12
16.6819,12
16.7761,12
16.8704,13
16.9646,13
17.0588,13
17.1531,14
17.2473,14
17.3416,14
17.4358,14
17.5301,14
17.6243,14
17.7186,14
17.8128,14
17.9071,14
18.0013,14
18.0956,14
18.1898,14
18.2841,16
18.3783,17
18.4726,20
18.5668,20
18.6611,21
18.7553,24
18.8496,26
