idx,parent,sibling,depth,retired,done,t_entry,t_exit,cx0,cx1,cx2,cx3,hw0,hw1,hw2,hw3
17,8,18,4,0,1,17.1162,18.8496,0.499125,0,0,1.73255,0.000125,0.001,0.001,0.0005
21,10,22,4,0,1,16.8501,18.8496,0.499625,0,0,1.73255,0.000125,0.001,0.001,0.0005
27,13,28,4,0,1,18.654,18.8496,0.500625,0,0,1.73155,0.000125,0.001,0.001,0.0005
28,13,27,4,0,1,18.654,18.8496,0.500875,0,0,1.73155,0.000125,0.001,0.001,0.0005
29,14,30,4,0,1,18.7537,18.8496,0.500625,0,0,1.73255,0.000125,0.001,0.001,0.0005
30,14,29,4,0,1,18.7537,18.8496,0.500875,0,0,1.73255,0.000125,0.001,0.001,0.0005
31,15,32,5,0,1,18.4554,18.8496,0.499125,0,0,1.7313,0.000125,0.001,0.001,0.00025
32,15,31,5,0,1,18.4554,18.8496,0.499125,0,0,1.7318,0.000125,0.001,0.001,0.00025
33,16,34,5,0,1,18.3838,18.8496,0.499375,0,0,1.7313,0.000125,0.001,0.001,0.00025
34,16,33,5,0,1,18.3838,18.8496,0.499375,0,0,1.7318,0.000125,0.001,0.001,0.00025
35,18,36,5,0,1,18.7385,18.8496,0.499375,0,0,1.7323,0.000125,0.001,0.001,0.00025
36,18,35,5,0,1,18.7385,18.8496,0.499375,0,0,1.7328,0.000125,0.001,0.001,0.00025
37,19,38,5,0,1,18.2403,18.8496,0.499625,0,0,1.7313,0.000125,0.001,0.001,0.00025
38,19,37,5,0,1,18.2403,18.8496,0.499625,0,0,1.7318,0.000125,0.001,0.001,0.00025
39,20,40,5,0,1,18.3816,18.8496,0.499875,0,0,1.7313,0.000125,0.001,0.001,0.00025
40,20,39,5,0,1,18.3816,18.8496,0.499875,0,0,1.7318,0.000125,0.001,0.001,0.00025
41,22,42,5,0,1,18.781,18.8496,0.499875,0,0,1.7323,0.000125,0.001,0.001,0.00025
42,22,41,5,0,1,18.781,18.8496,0.499875,0,0,1.7328,0.000125,0.001,0.001,0.00025
43,23,44,5,0,1,18.1934,18.8496,0.500125,0,0,1.7313,0.000125,0.001,0.001,0.00025
44,23,43,5,0,1,18.1934,18.8496,0.500125,0,0,1.7318,0.000125,0.001,0.001,0.00025
45,24,46,5,0,1,18.359,18.8496,0.500375,0,0,1.7313,0.000125,0.001,0.001,0.00025
46,24,45,5,0,1,18.359,18.8496,0.500375,0,0,1.7318,0.000125,0.001,0.001,0.00025
47,25,48,5,0,1,18.7742,18.8496,0.500125,0,0,1.7323,0.000125,0.001,0.001,0.00025
48,25,47,5,0,1,18.7742,18.8496,0.500125,0,0,1.7328,0.000125,0.001,0.001,0.00025
49,26,50,5,0,1,18.724,18.8496,0.500375,0,0,1.7323,0.000125,0.001,0.001,0.00025
50,26,49,5,0,1,18.724,18.8496,0.500375,0,0,1.7328,0.000125,0.001,0.001,0.00025
8,3,7,3,1,0,11.8597,17.1162,0.49925,0,0,1.73255,0.00025,0.001,0.001,0.0005
3,1,4,2,1,0,9.73924,11.8597,0.49925,0,0,1.73205,0.00025,0.001,0.001,0.001
1,0,2,1,1,0,6.08,9.73924,0.4995,0,0,1.73205,0.0005,0.001,0.001,0.001
0,-1,-1,0,1,0,0,6.08,0.5,0,0,1.73205,0.001,0.001,0.001,0.001
10,4,9,3,1,0,12.0521,16.8501,0.49975,0,0,1.73255,0.00025,0.001,0.001,0.0005
4,1,3,2,1,0,9.73924,12.0521,0.49975,0,0,1.73205,0.00025,0.001,0.001,0.001
13,6,14,3,1,0,12.3105,18.654,0.50075,0,0,1.73155,0.00025,0.001,0.001,0.0005
6,2,5,2,1,0,10.5191,12.3105,0.50075,0,0,1.73205,0.00025,0.001,0.001,0.001
2,0,1,1,1,0,6.08,10.5191,0.5005,0,0,1.73205,0.0005,0.001,0.001,0.001
14,6,13,3,1,0,12.3105,18.7537,0.50075,0,0,1.73255,0.00025,0.001,0.001,0.0005
15,7,16,4,1,0,16.0468,18.4554,0.499125,0,0,1.73155,0.000125,0.001,0.001,0.0005
7,3,8,3,1,0,11.8597,16.0468,0.49925,0,0,1.73155,0.00025,0.001,0.001,0.0005
16,7,15,4,1,0,16.0468,18.3838,0.499375,0,0,1.73155,0.000125,0.001,0.001,0.0005
18,8,17,4,1,0,17.1162,18.7385,0.499375,0,0,1.73255,0.000125,0.001,0.001,0.0005
19,9,20,4,1,0,15.6026,18.2403,0.499625,0,0,1.73155,0.000125,0.001,0.001,0.0005
9,4,10,3,1,0,12.0521,15.6026,0.49975,0,0,1.73155,0.00025,0.001,0.001,0.0005
20,9,19,4,1,0,15.6026,18.3816,0.499875,0,0,1.73155,0.000125,0.001,0.001,0.0005
22,10,21,4,1,0,16.8501,18.781,0.499875,0,0,1.73255,0.000125,0.001,0.001,0.0005
23,11,24,4,1,0,15.4297,18.1934,0.500125,0,0,1.73155,0.000125,0.001,0.001,0.0005
11,5,12,3,1,0,12.3649,15.4297,0.50025,0,0,1.73155,0.00025,0.001,0.001,0.0005
5,2,6,2,1,0,10.5191,12.3649,0.50025,0,0,1.73205,0.00025,0.001,0.001,0.001
24,11,23,4,1,0,15.4297,18.359,0.500375,0,0,1.73155,0.000125,0.001,0.001,0.0005
25,12,26,4,1,0,16.4145,18.7742,0.500125,0,0,1.73255,0.000125,0.001,0.001,0.0005
12,5,11,3,1,0,12.3649,16.4145,0.50025,0,0,1.73255,0.00025,0.001,0.001,0.0005
26,12,25,4,1,0,16.4145,18.724,0.500375,0,0,1.73255,0.000125,0.001,0.001,0.0005
