idx,parent,sibling,depth,retired,done,t_entry,t_exit,cx0,cx1,cx2,cx3,hw0,hw1,hw2,hw3
255,127,256,8,0,1,6.09451,18.8496,0.499063,-0.0005,0,1.73118,6.25e-05,0.0005,0.001,0.000125
256,127,255,8,0,1,6.09451,18.8496,0.499063,0.0005,0,1.73118,6.25e-05,0.0005,0.001,0.000125
257,128,258,8,0,1,6.10666,18.8496,0.499063,-0.0005,0,1.73143,6.25e-05,0.0005,0.001,0.000125
258,128,257,8,0,1,6.10666,18.8496,0.499063,0.0005,0,1.73143,6.25e-05,0.0005,0.001,0.000125
259,129,260,8,0,1,6.08337,18.8496,0.499188,-0.0005,0,1.73118,6.25e-05,0.0005,0.001,0.000125
260,129,259,8,0,1,6.08337,18.8496,0.499188,0.0005,0,1.73118,6.25e-05,0.0005,0.001,0.000125
261,130,262,8,0,1,6.11716,18.8496,0.499188,-0.0005,0,1.73143,6.25e-05,0.0005,0.001,0.000125
262,130,261,8,0,1,6.11716,18.8496,0.499188,0.0005,0,1.73143,6.25e-05,0.0005,0.001,0.000125
263,131,264,8,0,1,6.09373,18.8496,0.499063,-0.0005,0,1.73168,6.25e-05,0.0005,0.001,0.000125
264,131,263,8,0,1,6.09373,18.8496,0.499063,0.0005,0,1.73168,6.25e-05,0.0005,0.001,0.000125
265,132,266,8,0,1,6.11849,18.8496,0.499063,-0.0005,0,1.73193,6.25e-05,0.0005,0.001,0.000125
266,132,265,8,0,1,6.11849,18.8496,0.499063,0.0005,0,1.73193,6.25e-05,0.0005,0.001,0.000125
267,133,268,8,0,1,6.09792,18.8496,0.499188,-0.0005,0,1.73168,6.25e-05,0.0005,0.001,0.000125
268,133,267,8,0,1,6.09792,18.8496,0.499188,0.0005,0,1.73168,6.25e-05,0.0005,0.001,0.000125
269,134,270,8,0,1,6.13047,18.8496,0.499188,-0.0005,0,1.73193,6.25e-05,0.0005,0.001,0.000125
270,134,269,8,0,1,6.13047,18.8496,0.499188,0.0005,0,1.73193,6.25e-05,0.0005,0.001,0.000125
271,135,272,8,0,1,6.10595,18.8496,0.499312,-0.0005,0,1.73118,6.25e-05,0.0005,0.001,0.000125
272,135,271,8,0,1,6.10595,18.8496,0.499312,0.0005,0,1.73118,6.25e-05,0.0005,0.001,0.000125
273,136,274,8,0,1,6.12263,18.8496,0.499312,-0.0005,0,1.73143,6.25e-05,0.0005,0.001,0.000125
274,136,273,8,0,1,6.12263,18.8496,0.499312,0.0005,0,1.73143,6.25e-05,0.0005,0.001,0.000125
275,137,276,8,0,1,6.11764,18.8496,0.499438,-0.0005,0,1.73118,6.25e-05,0.0005,0.001,0.000125
276,137,275,8,0,1,6.11764,18.8496,0.499438,0.0005,0,1.73118,6.25e-05,0.0005,0.001,0.000125
277,138,278,8,0,1,6.13275,18.8496,0.499438,-0.0005,0,1.73143,6.25e-05,0.0005,0.001,0.000125
278,138,277,8,0,1,6.13275,18.8496,0.499438,0.0005,0,1.73143,6.25e-05,0.0005,0.001,0.000125
279,139,280,8,0,1,6.1098,18.8496,0.499312,-0.0005,0,1.73168,6.25e-05,0.0005,0.001,0.000125
280,139,279,8,0,1,6.1098,18.8496,0.499312,0.0005,0,1.73168,6.25e-05,0.0005,0.001,0.000125
281,140,282,8,0,1,6.14154,18.8496,0.499312,-0.0005,0,1.73193,6.25e-05,0.0005,0.001,0.000125
282,140,281,8,0,1,6.14154,18.8496,0.499312,0.0005,0,1.73193,6.25e-05,0.0005,0.001,0.000125
283,141,284,8,0,1,6.12109,18.8496,0.499438,-0.0005,0,1.73168,6.25e-05,0.0005,0.001,0.000125
284,141,283,8,0,1,6.12109,18.8496,0.499438,0.0005,0,1.73168,6.25e-05,0.0005,0.001,0.000125
285,142,286,8,0,1,6.14616,18.8496,0.499438,-0.0005,0,1.73193,6.25e-05,0.0005,0.001,0.000125
286,142,285,8,0,1,6.14616,18.8496,0.499438,0.0005,0,1.73193,6.25e-05,0.0005,0.001,0.000125
287,143,288,8,0,1,6.12151,18.8496,0.499063,-0.0005,0,1.73218,6.25e-05,0.0005,0.001,0.000125
288,143,287,8,0,1,6.12151,18.8496,0.499063,0.0005,0,1.73218,6.25e-05,0.0005,0.001,0.000125
289,144,290,8,0,1,6.1268,18.8496,0.499063,-0.0005,0,1.73243,6.25e-05,0.0005,0.001,0.000125
290,144,289,8,0,1,6.1268,18.8496,0.499063,0.0005,0,1.73243,6.25e-05,0.0005,0.001,0.000125
291,145,292,8,0,1,6.1284,18.8496,0.499188,-0.0005,0,1.73218,6.25e-05,0.0005,0.001,0.000125
292,145,291,8,0,1,6.1284,18.8496,0.499188,0.0005,0,1.73218,6.25e-05,0.0005,0.001,0.000125
